Time,Lat,Lon,Temp,Humi,PM10,PM25
12.4.2018 9:42:35.0,69.648612,19.001195,22.00,23.70,4.20,1.40
12.4.2018 9:43:19.0,69.648597,18.999988,10.10,35.30,2.90,1.40
12.4.2018 9:43:23.0,69.648521,18.999704,9.00,37.10,2.70,1.40
12.4.2018 9:43:26.0,69.648483,18.999582,8.90,37.60,2.60,1.40
12.4.2018 9:43:29.0,69.648475,18.999513,8.90,37.70,2.20,1.30
12.4.2018 9:43:41.0,69.648368,18.999286,8.80,37.80,3.60,1.50
12.4.2018 9:43:44.0,69.648368,18.999248,8.70,38.20,4.70,1.50
12.4.2018 9:43:47.0,69.648368,18.999212,8.70,38.30,4.70,1.50
12.4.2018 9:43:50.0,69.648376,18.999176,8.70,38.30,4.40,1.40
12.4.2018 9:43:53.0,69.648368,18.999155,8.80,38.40,4.30,1.40
12.4.2018 9:43:56.0,69.648368,18.999153,8.90,38.40,4.10,1.40
12.4.2018 9:43:59.0,69.648376,18.999141,8.90,38.20,4.00,1.40
12.4.2018 9:44:2.0,69.648353,18.999153,8.90,38.00,4.80,1.60
12.4.2018 9:44:5.0,69.648330,18.999073,9.00,38.30,6.40,1.70
12.4.2018 9:44:8.0,69.648307,18.999027,8.90,38.40,7.30,1.80
12.4.2018 9:44:11.0,69.648277,18.998956,8.90,38.50,12.80,2.10
12.4.2018 9:44:14.0,69.648262,18.998884,8.90,38.70,18.80,2.40
12.4.2018 9:44:17.0,69.648246,18.998775,8.70,38.80,21.80,2.70
12.4.2018 9:44:20.0,69.648239,18.998653,8.70,38.90,24.20,2.70
12.4.2018 9:44:23.0,69.648200,18.998596,8.70,39.00,24.60,2.80
12.4.2018 9:44:26.0,69.648193,18.998537,8.70,39.10,25.10,2.90
12.4.2018 9:44:29.0,69.648185,18.998445,8.60,39.10,28.30,3.00
12.4.2018 9:44:32.0,69.648185,18.998409,8.60,39.20,29.00,3.00
12.4.2018 9:44:35.0,69.648178,18.998376,8.60,39.20,28.20,3.00
12.4.2018 9:44:38.0,69.648139,18.998329,8.60,39.30,28.30,3.00
12.4.2018 9:44:41.0,69.648117,18.998237,8.60,39.30,28.10,3.00
12.4.2018 9:44:44.0,69.648101,18.998140,8.60,39.40,26.90,3.00
12.4.2018 9:44:47.0,69.648094,18.998050,8.60,39.50,27.50,3.00
12.4.2018 9:44:50.0,69.648078,18.997920,8.60,39.60,27.80,3.10
12.4.2018 9:44:53.0,69.648086,18.997842,8.60,39.60,27.80,3.10
12.4.2018 9:44:56.0,69.648071,18.997751,8.70,39.70,27.70,3.10
12.4.2018 9:44:59.0,69.648063,18.997655,8.60,39.80,27.80,3.20
12.4.2018 9:45:2.0,69.648033,18.997615,8.60,39.90,27.00,2.90
12.4.2018 9:45:5.0,69.648017,18.997512,8.50,40.00,25.80,2.90
12.4.2018 9:45:9.0,69.648002,18.997398,8.50,40.00,23.90,2.70
12.4.2018 9:45:12.0,69.648010,18.997318,8.60,40.00,18.20,2.40
12.4.2018 9:45:15.0,69.648010,18.997207,8.50,40.00,13.20,2.10
12.4.2018 9:45:19.0,69.647979,18.997076,8.50,40.10,9.70,1.90
12.4.2018 9:45:23.0,69.647979,18.996913,8.50,40.20,9.60,1.80
12.4.2018 9:45:27.0,69.647979,18.996816,8.50,40.50,8.00,1.70
12.4.2018 9:45:31.0,69.647964,18.996665,8.50,41.00,5.80,1.80
12.4.2018 9:45:35.0,69.647964,18.996578,8.40,41.20,5.60,1.80
12.4.2018 9:45:39.0,69.647956,18.996517,8.30,41.30,5.40,1.80
12.4.2018 9:45:43.0,69.647964,18.996442,8.20,41.40,5.30,1.80
12.4.2018 9:45:47.0,69.647933,18.996345,8.10,41.40,4.80,1.80
12.4.2018 9:45:52.0,69.647926,18.996154,8.10,41.70,4.80,1.80
12.4.2018 9:45:57.0,69.647903,18.995992,8.00,41.90,5.00,1.80
12.4.2018 9:46:2.0,69.647911,18.995845,7.90,42.10,5.00,1.90
12.4.2018 9:46:8.0,69.647880,18.995687,7.90,42.30,4.00,1.80
12.4.2018 9:46:14.0,69.647865,18.995521,7.90,42.70,3.90,1.80
12.4.2018 9:46:19.0,69.647842,18.995492,7.90,43.00,3.80,1.80
12.4.2018 9:46:25.0,69.647773,18.995460,8.00,42.90,2.70,1.80
12.4.2018 9:46:31.0,69.647712,18.995578,8.20,43.10,2.10,1.70
12.4.2018 9:46:37.0,69.647666,18.995656,8.20,42.90,2.20,1.70
12.4.2018 9:46:43.0,69.647666,18.995632,8.30,43.10,2.20,1.70
12.4.2018 9:46:50.0,69.647621,18.995429,8.30,43.20,2.10,1.60
12.4.2018 9:46:57.0,69.647529,18.995328,8.30,43.30,2.10,1.90
12.4.2018 94:69:38.84,0.000000,947.033325,8.20,43.40,2.20,2.00
